DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
702.5,,13.2633,,,,,Andrew,211/18-9
703.0,,13.4861,,,,,Andrew,211/18-9
703.5,,13.6858,,,,,Andrew,211/18-9
704.0,,14.5948,,,,,Andrew,211/18-9
704.5,,15.5294,,,,,Andrew,211/18-9
705.0,,16.3828,,,,,Andrew,211/18-9
705.5,,16.4826,,,,,Andrew,211/18-9
706.0,,16.81,,,,,Andrew,211/18-9
706.5,,17.2816,,,,,Andrew,211/18-9
707.0,,17.0257,,,,,Andrew,211/18-9
707.5,,16.4125,,,,,Andrew,211/18-9
708.0,,17.6993,,,,,Andrew,211/18-9
708.5,,18.5081,,,,,Andrew,211/18-9
709.0,,17.5492,,,,,Andrew,211/18-9
709.5,,16.4506,,,,,Andrew,211/18-9
710.0,,15.8919,,,,,Andrew,211/18-9
710.5,,16.5766,,,,,Andrew,211/18-9
711.0,,16.7763,,,,,Andrew,211/18-9
711.5,,16.5274,,,,,Andrew,211/18-9
712.0,,17.0707,,,,,Andrew,211/18-9
712.5,,18.7443,,,,,Andrew,211/18-9
713.0,,19.6209,,,,,Andrew,211/18-9
713.5,,18.6366,,,,,Andrew,211/18-9
714.0,,17.9289,,,,,Andrew,211/18-9
714.5,,17.2212,,,,,Andrew,211/18-9
715.0,,16.5135,,,,,Andrew,211/18-9
715.5,,16.6202,,,,,Andrew,211/18-9
716.0,,17.1193,,,,,Andrew,211/18-9
716.5,,19.3678,,,,,Andrew,211/18-9
717.0,,21.5869,,,,,Andrew,211/18-9
717.5,,22.5807,,,,,Andrew,211/18-9
718.0,,20.5985,,,,,Andrew,211/18-9
718.5,,17.4868,,,,,Andrew,211/18-9
719.0,,16.5335,,,,,Andrew,211/18-9
719.5,,15.9291,,,,,Andrew,211/18-9
720.0,,16.1551,,,,,Andrew,211/18-9
720.5,,16.289,,,,,Andrew,211/18-9
721.0,,16.4229,,,,,Andrew,211/18-9
721.5,,14.3751,,,,,Andrew,211/18-9
