,Well_Number,Depth_MD,Pick_Name,x,y,FM,Group
2179,14/20- 7,3303,Kimmeridge Clay,-0.040917,58.383806,,
2180,14/20- 7,3414,Piper,-0.040917,58.383806,,
2181,14/20- 7,3445,Smith Bank,-0.040917,58.383806,,
2182,14/20- 7,3502,Halibut Carbonate,-0.040917,58.383806,,
2183,14/20- 8,803,Beauly,-0.105806,58.411472,BEAULY,MORAY
2184,14/20- 8,931,Dornoch,-0.105806,58.411472,DORNOCH,MORAY
2185,14/20- 8,1276,Lista,-0.105806,58.411472,LISTA,MONTROSE
2186,14/20- 8,1881,Maureen,-0.105806,58.411472,MAUREEN,MONTROSE
2187,14/20- 8,1975,Upper Cretaceous Chalk,-0.105806,58.411472,TOR,CHALK
2188,14/20- 8,2531,Rodby,-0.105806,58.411472,,
2189,14/20- 8,2671,Sola,-0.105806,58.411472,,
2190,14/20- 8,2775,Valhall,-0.105806,58.411472,,
2191,14/20- 8,3058,Kimmeridge Clay,-0.105806,58.411472,,
2192,14/20- 8,3104,Smith Bank,-0.105806,58.411472,,
2193,14/20- 8,3138,Turbot Anhydrite,-0.105806,58.411472,,
2194,14/20- 9,501,Upper Mousa,-0.018611,58.496492,,
2195,14/20- 9,613,Middle Mousa,-0.018611,58.496492,,
2196,14/20- 9,718,Lower Mousa,-0.018611,58.496492,,
2197,14/20- 9,798,Balder,-0.018611,58.496492,BEAULY,MORAY
2198,14/20- 9,856,Beauly,-0.018611,58.496492,BEAULY,MORAY
2199,14/20- 9,920,Dornoch,-0.018611,58.496492,DORNOCH,MORAY
2200,14/20- 9,1209,Sele,-0.018611,58.496492,DORNOCH,MORAY
2201,14/20- 9,1283,Lista,-0.018611,58.496492,LISTA,MONTROSE
2202,14/20- 9,1895,Maureen,-0.018611,58.496492,MAUREEN,MONTROSE
2203,14/20- 9,2125,Upper Cretaceous Chalk,-0.018611,58.496492,TOR,CHALK
2204,14/20- 9,2725,Valhall,-0.018611,58.496492,,
2205,14/20- 9,2749,Kimmeridge Clay,-0.018611,58.496492,,
2206,14/20- 9,2758,Piper,-0.018611,58.496492,,
2207,14/20- 9,2824,Sgiath,-0.018611,58.496492,,
2208,14/20- 9,2828,Smith Bank,-0.018611,58.496492,,
2209,14/20- 9,2975,Turbot Anhydrite,-0.018611,58.496492,,
2822,15/11/2001,509,Upper Mousa,0.076583,58.501389,,
2823,15/11/2001,611,Middle Mousa,0.076583,58.501389,,
2824,15/11/2001,704,Horda,0.076583,58.501389,,
2825,15/11/2001,852,Beauly,0.076583,58.501389,BEAULY,MORAY
2826,15/11/2001,1013,Dornoch,0.076583,58.501389,DORNOCH,MORAY
2827,15/11/2001,1192,Sele,0.076583,58.501389,DORNOCH,MORAY
2828,15/11/2001,1408,Lista,0.076583,58.501389,LISTA,MONTROSE
2829,15/11/2001,1674,Maureen,0.076583,58.501389,MAUREEN,MONTROSE
2830,15/11/2001,1798,Ekofisk,0.076583,58.501389,EKOFISK,CHALK
2831,15/11/2001,1835,Upper Cretaceous Chalk,0.076583,58.501389,TOR,CHALK
2832,15/11/2001,1947,Kimmeridge Clay,0.076583,58.501389,,
2833,15/11/2001,1969,Piper,0.076583,58.501389,,
2834,15/11/2001,2024,Sgiath,0.076583,58.501389,,
2835,15/11/2001,2036,Smith Bank,0.076583,58.501389,,
2836,15/11/2001,2143,Turbot Anhydrite,0.076583,58.501389,,
2837,15/11/2001,2177,Halibut Carbonate,0.076583,58.501389,,
2838,15/11/2001,2217,Carboniferous Undifferentiated,0.076583,58.501389,,
2886,15/11b- 5,941,Beauly,0.183678,58.539964,BEAULY,MORAY
2887,15/11b- 5,1102,Dornoch,0.183678,58.539964,DORNOCH,MORAY
2888,15/11b- 5,1471,Sele,0.183678,58.539964,DORNOCH,MORAY
2889,15/11b- 5,1621,Lista,0.183678,58.539964,LISTA,MONTROSE
2890,15/11b- 5,2329,Maureen,0.183678,58.539964,MAUREEN,MONTROSE
2891,15/11b- 5,2489,Ekofisk,0.183678,58.539964,EKOFISK,CHALK
2892,15/11b- 5,2533,Upper Cretaceous Chalk,0.183678,58.539964,TOR,CHALK
2893,15/11b- 5,2917,Lower Cretaceous Undifferentiated,0.183678,58.539964,,
2894,15/11b- 5,3015,Kimmeridge Clay,0.183678,58.539964,,
2895,15/11b- 5,3184,Piper,0.183678,58.539964,,
2896,15/11b- 5,3308,Pentland,0.183678,58.539964,,
2897,15/11b- 5,3400,Smith Bank,0.183678,58.539964,,
2898,15/12/2001,564,Horda,0.308333,58.502778,,
