,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
179,14/20-1,11.9494,,,,Stronsay,,
180,14/20-1,11.5267,,,,Stronsay,,
181,14/20-1,11.104,,,,Stronsay,,
182,14/20-1,10.6814,,,,Stronsay,,
183,14/20-1,10.3607,,,,Stronsay,,
184,14/20-1,10.3209,,,,Stronsay,,
185,14/20-1,10.4155,,,,Stronsay,,
186,14/20-1,10.4281,,,,Stronsay,,
187,14/20-1,11.1093,,,,Stronsay,,
188,14/20-1,11.2055,,,,Stronsay,,
189,14/20-1,11.2015,,,,Stronsay,,
190,14/20-1,11.1975,,,,Stronsay,,
191,14/20-1,11.0607,,,,Stronsay,,
192,14/20-1,10.7126,,,,Stronsay,,
193,14/20-1,10.3835,,,,Stronsay,,
194,14/20-1,10.3794,,,,Stronsay,,
195,14/20-1,9.9744,,,,Stronsay,,
196,14/20-1,9.9704,,,,Stronsay,,
197,14/20-1,9.9664,,,,Stronsay,,
198,14/20-1,9.9624,,,,Stronsay,,
199,14/20-1,9.9598,,,,Stronsay,,
200,14/20-1,9.9571,,,,Stronsay,,
201,14/20-1,9.754,,,,Stronsay,,
202,14/20-1,9.7514,,,,Stronsay,,
203,14/20-1,9.9368,,,,Stronsay,,
204,14/20-1,9.9466,,,,Stronsay,,
205,14/20-1,10.1445,,,,Stronsay,,
206,14/20-1,10.1418,,,,Stronsay,,
207,14/20-1,10.0252,,,,Stronsay,,
208,14/20-1,9.7356,,,,Stronsay,,
209,14/20-1,9.733,,,,Stronsay,,
210,14/20-1,9.7304,,,,Stronsay,,
211,14/20-1,10.1287,,,,Stronsay,,
212,14/20-1,10.126,,,,Stronsay,,
213,14/20-1,9.923,,,,Stronsay,,
214,14/20-1,9.9203,,,,Stronsay,,
215,14/20-1,9.7173,,,,Stronsay,,
216,14/20-1,9.9151,,,,Stronsay,,
217,14/20-1,10.1128,,,,Stronsay,,
218,14/20-1,10.4492,,,,Stronsay,,
219,14/20-1,10.7088,,,,Stronsay,,
220,14/20-1,11.3615,,,,Stronsay,,
221,14/20-1,11.9873,,,,Stronsay,,
222,14/20-1,12.1035,,,,Stronsay,,
223,14/20-1,12.3012,,,,Stronsay,,
224,14/20-1,12.0981,,,,Stronsay,,
225,14/20-1,11.8951,,,,Stronsay,,
226,14/20-1,11.8924,,,,Stronsay,,
227,14/20-1,12.0901,,,,Stronsay,,
228,14/20-1,11.8871,,,,Stronsay,,
229,14/20-1,11.8844,,,,Stronsay,,
230,14/20-1,11.8817,,,,Stronsay,,
231,14/20-1,11.879,,,,Stronsay,,
232,14/20-1,11.8763,,,,Stronsay,,
233,14/20-1,12.074,,,,Stronsay,,
234,14/20-1,12.2716,,,,Stronsay,,
235,14/20-1,12.4693,,,,Stronsay,,
236,14/20-1,12.2663,,,,Stronsay,,
237,14/20-1,12.0633,,,,Stronsay,,
238,14/20-1,12.0606,,,,Stronsay,,
239,14/20-1,12.2001,,,,Stronsay,,
240,14/20-1,12.7316,,,,Stronsay,,
241,14/20-1,13.2136,,,,Stronsay,,
242,14/20-1,13.2515,,,,Stronsay,,
243,14/20-1,13.8497,,,,Stronsay,,
244,14/20-1,14.0472,,,,Stronsay,,
245,14/20-1,14.2448,,,,Stronsay,,
246,14/20-1,14.242,,,,Stronsay,,
247,14/20-1,14.2393,,,,Stronsay,,
248,14/20-1,13.836,,,,Stronsay,,
249,14/20-1,13.8333,,,,Stronsay,,
250,14/20-1,13.5671,,,,Stronsay,,
251,14/20-1,13.686,,,,Stronsay,,
252,14/20-1,13.6249,,,,Stronsay,,
253,14/20-1,13.5221,,,,Stronsay,,
254,14/20-1,13.4059,,,,Stronsay,,
255,14/20-1,13.1162,,,,Stronsay,,
256,14/20-1,12.5574,,,,Stronsay,,
257,14/20-1,12.0485,,,,Stronsay,,
258,14/20-1,11.7669,,,,Stronsay,,
259,14/20-1,11.2035,,,,Stronsay,,
260,14/20-1,11.2009,,,,Stronsay,,
261,14/20-1,11.5622,,,,Stronsay,,
262,14/20-1,11.7961,,,,Stronsay,,
263,14/20-1,11.7934,,,,Stronsay,,
