,Well_Number,Depth_MD,Pick_Name,x,y
2203,14/20- 9,2125.0,Upper Cretaceous Chalk,-0.018611, 58.496492
2204,14/20- 9,2725.0,Valhall,-0.018611, 58.496492
2205,14/20- 9,2749.0,Kimmeridge Clay,-0.018611, 58.496492
2206,14/20- 9,2758.0,Piper,-0.018611, 58.496492
2207,14/20- 9,2824.0,Sgiath,-0.018611, 58.496492
2208,14/20- 9,2828.0,Smith Bank,-0.018611, 58.496492
2209,14/20- 9,2975.0,Turbot Anhydrite,-0.018611, 58.496492
2822,15/11- 1,509.0,Upper Mousa,0.076583, 58.501389
2823,15/11- 1,611.0,Middle Mousa,0.076583, 58.501389
2824,15/11- 1,704.0,Horda,0.076583, 58.501389
2825,15/11- 1,852.0,Beauly,0.076583, 58.501389
2826,15/11- 1,1013.0,Dornoch,0.076583, 58.501389
2827,15/11- 1,1192.0,Sele,0.076583, 58.501389
2828,15/11- 1,1408.0,Lista,0.076583, 58.501389
2829,15/11- 1,1674.0,Maureen,0.076583, 58.501389
2830,15/11- 1,1798.0,Ekofisk,0.076583, 58.501389
2831,15/11- 1,1835.0,Upper Cretaceous Chalk,0.076583, 58.501389
2832,15/11- 1,1947.0,Kimmeridge Clay,0.076583, 58.501389
2833,15/11- 1,1969.0,Piper,0.076583, 58.501389
2834,15/11- 1,2024.0,Sgiath,0.076583, 58.501389
2835,15/11- 1,2036.0,Smith Bank,0.076583, 58.501389
2836,15/11- 1,2143.0,Turbot Anhydrite,0.076583, 58.501389
2837,15/11- 1,2177.0,Halibut Carbonate,0.076583, 58.501389
2838,15/11- 1,2217.0,Carboniferous Undifferentiated,0.076583, 58.501389
2886,15/11b- 5,941.0,Beauly,0.183678, 58.539964
2887,15/11b- 5,1102.0,Dornoch,0.183678, 58.539964
2888,15/11b- 5,1471.0,Sele,0.183678, 58.539964
2889,15/11b- 5,1621.0,Lista,0.183678, 58.539964
2890,15/11b- 5,2329.0,Maureen,0.183678, 58.539964
2891,15/11b- 5,2489.0,Ekofisk,0.183678, 58.539964
2892,15/11b- 5,2533.0,Upper Cretaceous Chalk,0.183678, 58.539964
2893,15/11b- 5,2917.0,Lower Cretaceous Undifferentiated,0.183678, 58.539964
2894,15/11b- 5,3015.0,Kimmeridge Clay,0.183678, 58.539964
2895,15/11b- 5,3184.0,Piper,0.183678, 58.539964
2896,15/11b- 5,3308.0,Pentland,0.183678, 58.539964
2897,15/11b- 5,3400.0,Smith Bank,0.183678, 58.539964
2898,15/12- 1,564.0,Horda,0.308333, 58.502778
2899,15/12- 1,746.0,Middle Mousa,0.308333, 58.502778
2900,15/12- 1,970.0,Horda,0.308333, 58.502778
2901,15/12- 1,1032.0,Balder,0.308333, 58.502778
2902,15/12- 1,1074.0,Beauly,0.308333, 58.502778
2903,15/12- 1,1122.0,Dornoch,0.308333, 58.502778
2904,15/12- 1,1329.0,Sele,0.308333, 58.502778
2905,15/12- 1,1471.0,Lista,0.308333, 58.502778
2906,15/12- 1,2084.0,Maureen,0.308333, 58.502778
2907,15/12- 1,2138.0,Ekofisk,0.308333, 58.502778
2908,15/12- 1,2192.0,Upper Cretaceous Chalk,0.308333, 58.502778
2909,15/12- 1,2502.0,Rodby,0.308333, 58.502778
2910,15/12- 1,2509.0,Sola,0.308333, 58.502778
2911,15/12- 1,2518.0,Valhall,0.308333, 58.502778
2912,15/12- 1,2560.0,Kimmeridge Clay,0.308333, 58.502778
2913,15/12- 1,2631.0,Piper,0.308333, 58.502778
2914,15/12- 1,2740.0,Sgiath,0.308333, 58.502778
2915,15/12- 1,2783.0,Pentland,0.308333, 58.502778
2916,15/12- 1,2905.0,Smith Bank,0.308333, 58.502778
2917,15/12- 1,3009.0,Turbot Anhydrite,0.308333, 58.502778
2968,15/13- 2,642.0,Horda,0.532242, 58.556597
2969,15/13- 2,884.0,Middle Mousa,0.532242, 58.556597
2970,15/13- 2,1108.0,Horda,0.532242, 58.556597
2971,15/13- 2,1230.0,Balder,0.532242, 58.556597
2972,15/13- 2,1266.0,Beauly,0.532242, 58.556597
2973,15/13- 2,1378.0,Dornoch,0.532242, 58.556597
2974,15/13- 2,1540.0,Sele,0.532242, 58.556597
2975,15/13- 2,1575.0,Lista,0.532242, 58.556597
2976,15/13- 2,2002.0,Maureen,0.532242, 58.556597
2977,15/13- 2,2033.0,Ekofisk,0.532242, 58.556597
2978,15/13- 2,2069.0,Upper Cretaceous Chalk,0.532242, 58.556597
2979,15/13- 2,2122.0,Rodby,0.532242, 58.556597
2980,15/13- 2,2129.0,Kimmeridge Clay,0.532242, 58.556597
2981,15/13- 2,2131.0,Piper,0.532242, 58.556597
2982,15/13- 2,2144.0,Pentland,0.532242, 58.556597
2983,15/13- 2,2235.0,Smith Bank,0.532242, 58.556597
2984,15/13- 2,2347.0,Turbot Anhydrite,0.532242, 58.556597
2985,15/13- 2,2464.0,Kupferschiefer,0.532242, 58.556597
2986,15/13- 2,2467.0,Carboniferous Undifferentiated,0.532242, 58.556597
2987,15/13- 3,625.0,Horda,0.498966, 58.570784
2988,15/13- 3,760.0,Middle Mousa,0.498966, 58.570784
2989,15/13- 3,1066.0,Horda,0.498966, 58.570784
2990,15/13- 3,1120.0,Balder,0.498966, 58.570784
2991,15/13- 3,1196.0,Dornoch,0.498966, 58.570784
2992,15/13- 3,1557.0,Lista,0.498966, 58.570784
2993,15/13- 3,2036.0,Maureen,0.498966, 58.570784
2994,15/13- 3,2087.0,Upper Cretaceous Chalk,0.498966, 58.570784
2995,15/13- 3,2162.0,Rodby,0.498966, 58.570784
2996,15/13- 3,2173.0,Kimmeridge Clay,0.498966, 58.570784
2997,15/13- 3,2177.0,Piper,0.498966, 58.570784
2998,15/13- 3,2228.0,Pentland,0.498966, 58.570784
2999,15/13- 3,2247.0,Smith Bank,0.498966, 58.570784
3000,15/13- 3,2352.0,Turbot Anhydrite,0.498966, 58.570784
3019,15/13a- 4Z,1547.0,Dornoch,0.561278, 58.557111
3020,15/13a- 4Z,1787.0,Lista,0.561278, 58.557111
3021,15/13a- 4Z,2028.0,Maureen,0.561278, 58.557111
3022,15/13a- 4Z,2078.0,Ekofisk,0.561278, 58.557111
3023,15/13a- 4Z,2144.0,Upper Cretaceous Chalk,0.561278, 58.557111
3024,15/13a- 4Z,2221.0,Piper,0.561278, 58.557111
3025,15/13a- 4Z,2223.0,Pentland,0.561278, 58.557111
3026,15/13a- 4Z,2315.0,Smith Bank,0.561278, 58.557111
3229,15/16- 5,588.0,Horda,0.098481, 58.372842
3230,15/16- 5,911.0,Middle Mousa,0.098481, 58.372842
3231,15/16- 5,991.0,Horda,0.098481, 58.372842
3232,15/16- 5,1058.0,Beauly,0.098481, 58.372842
3233,15/16- 5,1155.0,Dornoch,0.098481, 58.372842
3234,15/16- 5,1265.0,Sele,0.098481, 58.372842
3235,15/16- 5,1613.0,Lista,0.098481, 58.372842
3236,15/16- 5,1899.0,Maureen,0.098481, 58.372842
3237,15/16- 5,2268.0,Ekofisk,0.098481, 58.372842
3238,15/16- 5,2286.0,Upper Cretaceous Chalk,0.098481, 58.372842
3239,15/16- 5,2908.0,Rodby,0.098481, 58.372842
3240,15/16- 5,2961.0,Sola,0.098481, 58.372842
3241,15/16- 5,3130.0,Valhall,0.098481, 58.372842
3242,15/16- 5,3476.0,Kimmeridge Clay,0.098481, 58.372842
3243,15/16- 5,3579.0,Piper,0.098481, 58.372842
3244,15/16- 5,3653.0,Sgiath,0.098481, 58.372842
3245,15/16- 5,3655.0,Pentland,0.098481, 58.372842
3246,15/16- 5,3688.0,Smith Bank,0.098481, 58.372842
3334,15/16b- 20,170.0,Horda,0.115931, 58.389639
3335,15/16b- 20,743.0,Middle Mousa,0.115931, 58.389639
3336,15/16b- 20,876.0,Horda,0.115931, 58.389639
3337,15/16b- 20,1075.0,Balder,0.115931, 58.389639
3338,15/16b- 20,1130.0,Dornoch,0.115931, 58.389639
3339,15/16b- 20,1278.0,Sele,0.115931, 58.389639
3340,15/16b- 20,1615.0,Lista,0.115931, 58.389639
3341,15/16b- 20,2201.0,Maureen,0.115931, 58.389639
3342,15/16b- 20,2266.0,Ekofisk,0.115931, 58.389639
3343,15/16b- 20,2296.0,Tor,0.115931, 58.389639
3344,15/16b- 20,2451.0,Mackerel,0.115931, 58.389639
3345,15/16b- 20,2859.0,Herring,0.115931, 58.389639
3346,15/16b- 20,2944.0,Hidra,0.115931, 58.389639
3347,15/16b- 20,3029.0,Rodby,0.115931, 58.389639
3348,15/16b- 20,3093.0,Sola,0.115931, 58.389639
3349,15/16b- 20,3223.0,Valhall,0.115931, 58.389639
3350,15/16b- 20,3862.0,Kimmeridge Clay,0.115931, 58.389639
3351,15/16b- 20,3955.0,Piper,0.115931, 58.389639
3352,15/16b- 20,4130.0,Pentland,0.115931, 58.389639
3367,15/17- 10,618.0,Horda,0.271001, 58.410675
3368,15/17- 10,805.0,Middle Mousa,0.271001, 58.410675
3369,15/17- 10,1045.0,Horda,0.271001, 58.410675
3370,15/17- 10,1162.0,Balder,0.271001, 58.410675
3371,15/17- 10,1502.0,Sele,0.271001, 58.410675
3372,15/17- 10,1629.0,Lista,0.271001, 58.410675
3373,15/17- 10,2234.0,Maureen,0.271001, 58.410675
3374,15/17- 10,2343.0,Ekofisk,0.271001, 58.410675
3375,15/17- 10,2378.0,Upper Cretaceous Chalk,0.271001, 58.410675
3376,15/17- 10,3103.0,Rodby,0.271001, 58.410675
3377,15/17- 10,3130.0,Sola,0.271001, 58.410675
3378,15/17- 10,3164.0,Valhall,0.271001, 58.410675
3379,15/17- 10,3368.0,Kimmeridge Clay,0.271001, 58.410675
3380,15/17- 10,3424.0,Piper,0.271001, 58.410675
3381,15/17- 10,3462.0,Pentland,0.271001, 58.410675
3382,15/17- 10,3616.0,Smith Bank,0.271001, 58.410675
3383,15/17- 10,3718.0,Halibut Carbonate,0.271001, 58.410675
3384,15/17- 10,3767.0,Kupferschiefer,0.271001, 58.410675
3385,15/17- 10,3769.0,Carboniferous Undifferentiated,0.271001, 58.410675
3456,15/17- 15,671.0,Horda,0.370972, 58.390833
3457,15/17- 15,903.0,Middle Mousa,0.370972, 58.390833
3458,15/17- 15,1132.0,Horda,0.370972, 58.390833
3459,15/17- 15,1380.0,Balder,0.370972, 58.390833
3460,15/17- 15,1507.0,Dornoch,0.370972, 58.390833
3461,15/17- 15,1564.0,Sele,0.370972, 58.390833
3462,15/17- 15,1692.0,Lista,0.370972, 58.390833
3463,15/17- 15,2423.0,Maureen,0.370972, 58.390833
3464,15/17- 15,2551.0,Ekofisk,0.370972, 58.390833
3465,15/17- 15,2595.0,Upper Cretaceous Chalk,0.370972, 58.390833
3466,15/17- 15,3285.0,Rodby,0.370972, 58.390833
3467,15/17- 15,3321.0,Sola,0.370972, 58.390833
3468,15/17- 15,3431.0,Valhall,0.370972, 58.390833
3469,15/17- 15,3725.0,Kimmeridge Clay,0.370972, 58.390833
3470,15/17- 15,3957.0,Old Red Sandstone,0.370972, 58.390833
3545,15/17- 25,1159.0,Balder,0.213889, 58.380417
3546,15/17- 25,1221.0,Dornoch,0.213889, 58.380417
3547,15/17- 25,1430.0,Sele,0.213889, 58.380417
3548,15/17- 25,1716.0,Lista,0.213889, 58.380417
3549,15/17- 25,2220.0,Maureen,0.213889, 58.380417
3550,15/17- 25,2351.0,Ekofisk,0.213889, 58.380417
3551,15/17- 25,2390.0,Tor,0.213889, 58.380417
3552,15/17- 25,2595.0,Mackerel,0.213889, 58.380417
3553,15/17- 25,3006.0,Herring,0.213889, 58.380417
3554,15/17- 25,3089.0,Hidra,0.213889, 58.380417
3555,15/17- 25,3208.0,Rodby,0.213889, 58.380417
3556,15/17- 25,3276.0,Sola,0.213889, 58.380417
3557,15/17- 25,3363.0,Valhall,0.213889, 58.380417
3558,15/17- 25,4064.0,Kimmeridge Clay,0.213889, 58.380417
3559,15/17- 25,4360.0,Piper,0.213889, 58.380417
3560,15/17- 25,4393.0,Sgiath,0.213889, 58.380417
3561,15/17- 25,4493.0,Pentland,0.213889, 58.380417
3595,15/17- 4,566.0,Horda,0.289194, 58.484361
3596,15/17- 4,762.0,Middle Mousa,0.289194, 58.484361
3597,15/17- 4,978.0,Horda,0.289194, 58.484361
3598,15/17- 4,1039.0,Beauly,0.289194, 58.484361
3599,15/17- 4,1136.0,Dornoch,0.289194, 58.484361
3600,15/17- 4,1283.0,Sele,0.289194, 58.484361
3601,15/17- 4,1490.0,Lista,0.289194, 58.484361
3602,15/17- 4,2070.0,Maureen,0.289194, 58.484361
3603,15/17- 4,2185.0,Ekofisk,0.289194, 58.484361
3604,15/17- 4,2203.0,Upper Cretaceous Chalk,0.289194, 58.484361
3605,15/17- 4,2441.0,Rodby,0.289194, 58.484361
3606,15/17- 4,2460.0,Sola,0.289194, 58.484361
3607,15/17- 4,2475.0,Valhall,0.289194, 58.484361
3608,15/17- 4,2527.0,Kimmeridge Clay,0.289194, 58.484361
3609,15/17- 4,2574.0,Piper,0.289194, 58.484361
3610,15/17- 4,2651.0,Sgiath,0.289194, 58.484361
3611,15/17- 4,2655.0,Heather,0.289194, 58.484361
3612,15/17- 4,2664.0,Pentland,0.289194, 58.484361
3613,15/17- 4,2777.0,Smith Bank,0.289194, 58.484361
3614,15/17- 4,2853.0,Turbot Anhydrite,0.289194, 58.484361
3630,15/17- 6,550.0,Horda,0.213972, 58.471167
3631,15/17- 6,759.0,Middle Mousa,0.213972, 58.471167
3632,15/17- 6,960.0,Horda,0.213972, 58.471167
3633,15/17- 6,1018.0,Beauly,0.213972, 58.471167
3634,15/17- 6,1103.0,Dornoch,0.213972, 58.471167
3635,15/17- 6,1347.0,Sele,0.213972, 58.471167
3636,15/17- 6,1450.0,Lista,0.213972, 58.471167
3637,15/17- 6,1886.0,Maureen,0.213972, 58.471167
3638,15/17- 7,574.0,Horda,0.226389, 58.432194
3639,15/17- 7,773.0,Middle Mousa,0.226389, 58.432194
3640,15/17- 7,954.0,Horda,0.226389, 58.432194
3641,15/17- 7,1048.0,Balder,0.226389, 58.432194
3642,15/17- 7,1058.0,Beauly,0.226389, 58.432194
3643,15/17- 7,1158.0,Dornoch,0.226389, 58.432194
3644,15/17- 7,1515.0,Sele,0.226389, 58.432194
3645,15/17- 7,1640.0,Lista,0.226389, 58.432194
3646,15/17- 7,2066.0,Maureen,0.226389, 58.432194
3647,15/17- 7,2225.0,Ekofisk,0.226389, 58.432194
3648,15/17- 8A,705.0,Horda,0.374278, 58.368583
3649,15/17- 8A,983.0,Middle Mousa,0.374278, 58.368583
3650,15/17- 8A,1377.0,Horda,0.374278, 58.368583
3651,15/17- 8A,1501.0,Balder,0.374278, 58.368583
3652,15/17- 8A,1613.0,Sele,0.374278, 58.368583
3653,15/17- 8A,1713.0,Lista,0.374278, 58.368583
3654,15/17- 8A,2251.0,Maureen,0.374278, 58.368583
3655,15/17- 8A,2487.0,Ekofisk,0.374278, 58.368583
3656,15/17- 8A,2540.0,Upper Cretaceous Chalk,0.374278, 58.368583
3657,15/17- 8A,3188.0,Rodby,0.374278, 58.368583
3658,15/17- 8A,3303.0,Sola,0.374278, 58.368583
3659,15/17- 8A,3430.0,Valhall,0.374278, 58.368583
3660,15/17- 8A,3735.0,Kimmeridge Clay,0.374278, 58.368583
3661,15/17- 8A,3929.0,Piper,0.374278, 58.368583
3662,15/17- 8A,3973.0,Pentland,0.374278, 58.368583
3663,15/17- 8A,4026.0,Smith Bank,0.374278, 58.368583
3664,15/17- 9,617.0,Horda,0.257556, 58.401
3665,15/17- 9,811.0,Middle Mousa,0.257556, 58.401
3666,15/17- 9,1049.0,Horda,0.257556, 58.401
3667,15/17- 9,1189.0,Balder,0.257556, 58.401
3668,15/17- 9,1256.0,Dornoch,0.257556, 58.401
3669,15/17- 9,1338.0,Sele,0.257556, 58.401
3670,15/17- 9,1662.0,Lista,0.257556, 58.401
3671,15/17- 9,2112.0,Maureen,0.257556, 58.401
3672,15/17- 9,2373.0,Ekofisk,0.257556, 58.401
3673,15/17- 9,2415.0,Upper Cretaceous Chalk,0.257556, 58.401
3674,15/17- 9,3206.0,Rodby,0.257556, 58.401
3675,15/17- 9,3231.0,Sola,0.257556, 58.401
3676,15/17- 9,3301.0,Valhall,0.257556, 58.401
3677,15/17- 9,3648.0,Kimmeridge Clay,0.257556, 58.401
3678,15/17- 9,3940.0,Piper,0.257556, 58.401
3679,15/17- 9,4022.0,Sgiath,0.257556, 58.401
3680,15/17- 9,4112.0,Heather,0.257556, 58.401
3681,15/17- 9,4143.0,Pentland,0.257556, 58.401
3682,15/17- 9,4446.0,Smith Bank,0.257556, 58.401
3683,15/17- 9,4488.0,Halibut Carbonate,0.257556, 58.401
3684,15/17- 9,4506.0,Carboniferous Undifferentiated,0.257556, 58.401
3685,15/18- 1,651.0,Horda,0.417472, 58.457611
