OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
185,13/23- 3,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-1.5332404719999886,58.327324738000016
188,13/23b- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-1.418071574999999,58.264271914999995
192,13/29- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,,-1.3751417629999878,58.096065348000025
195,13/29a- 4,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-1.3480608680000046,58.09176053700003
198,13/29b- 5,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.3644720600000255,58.15249853300003
200,13/29b- 7,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-1.3887109080000073,58.13543560400001
203,13/30- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,-1.0553534360000185,58.095016380000004
211,14/18a- 13,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.44364502899998115,58.460151458999974
221,12/23- 3A,OGA Offshore Wells,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,-2.465121468999996,58.243667663999986
226,12/25- 2,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-2.019158473999994,58.20852816500002
228,12/25- 4,OGA Offshore Wells,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,-2.0083405940000034,58.281691963000014
233,12/26a- 4,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-2.8785882290000018,58.143676657000015
234,12/26c- 5,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,-2.9935207760000253,58.136554896999996
242,12/30- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,-2.0994120830000043,58.13414143199998
248,13/17- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,,,,,,,-1.6422644400000195,58.437791370000014
249,13/18- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-1.4343392870000002,58.48597380299998
253,13/21a- 1A,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.8320323770000186,58.28835247799998
259,13/21b- 7,OGA Offshore Wells,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-2.000131226999997,58.25682416500001
260,13/22- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,,,,,,,-1.7627310330000228,58.297848715999976
263,13/22a- 12,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-1.7580897270000264,58.315371414000026
265,13/22a- 14,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.7867626280000195,58.31884017099998
266,13/22a- 15,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.6525199390000012,58.31400072100001
269,13/22a- 18,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-1.7281551720000152,58.29850418500001
294,14/26b- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,-0.8202979060000075,58.06368821900003
